Descrição dos alimentos;Energia(kcal);Carboidrato(g);Lipídeos(g);Proteína(g)
Capuccino, pó;417;73,6;8,6;11,3
Fermento em pó, químico;90;43,9;0,1;0,5
Fermento, biológico, levedura, tablete;90;7,7;1,5;17,0
Gelatina, sabores variados, pó;380;89,2;Tr;8,9
Sal, dietético;;;;
Sal, grosso;;;;
Shoyu;61;11,6;0,3;3,3
Tempero a base de sal;21;2,1;0,3;2,7
Azeitona, preta, conserva;194;5,5;20,3;1,2
Azeitona, verde, conserva;137;4,1;14,2;0,9
Chantilly, spray, com gordura vegetal;315;16,9;27,3;0,5
Leite, de coco;166;2,2;18,4;1,0
Maionese, tradicional com ovos;302;7,9;30,5;0,6
Acarajé;289;19,1;19,9;8,3
Arroz carreteiro;154;11,6;7,1;10,8
Baião de dois, arroz e feijão-de-corda;136;20,4;3,2;6,2
Barreado;165;0,2;9,5;18,3
Bife à cavalo, com contra filé;291;0,0;21,1;23,7
Bolinho de arroz;274;41,7;8,3;8,0
Camarão à baiana;101;3,2;6,0;7,9
Charuto, de repolho;78;10,1;1,1;6,8
Cuscuz, de milho, cozido com sal;113;25,3;0,7;2,2
Cuscuz, paulista;142;22,5;4,6;2,6
Cuxá, molho;80;5,7;3,6;5,6
Dobradinha;125;0,0;4,4;19,8
Estrogonofe de carne;173;3,0;10,8;15,0
Estrogonofe de frango;157;2,6;8,0;17,6
Feijão tropeiro mineiro;152;19,6;6,8;10,2
L;117;11,6;6,5;8,7
Frango, com açafrão;113;4,1;6,2;9,7
Macarrão, molho bolognesa;120;22,5;0,9;4,9
Maniçoba;134;3,4;8,7;10,0
Quibebe;86;6,6;2,7;8,6
Salada, de legumes, com maionese;96;8,9;7,0;1,1
Salada, de legumes, cozida no vapor;35;7,1;0,3;2,0
Salpicão, de frango;148;4,6;7,8;13,9
Sarapatel;123;1,1;4,4;18,5
Tabule;57;10,6;1,2;2,0
Tacacá;47;3,4;0,4;7,0
Tapioca, com manteiga;348;63,6;10,9;0,1
Tucupi, com pimenta-de-cheiro;27;4,7;0,3;2,1
Vaca atolada;145;10,1;9,3;5,1
Vatapá;255;9,7;23,2;6,0
Virado à paulista;307;14,1;25,6;10,2
Yakisoba;113;18,3;2,6;7,5
Amendoim, grão, cru;544;20,3;43,9;27,2
Amendoim, torrado, salgado;606;18,7;54,0;22,5
Ervilha, em vagem;88;14,2;0,5;7,5
Ervilha, enlatada, drenada;74;13,4;0,4;4,6
Feijão, carioca, cozido;76;13,6;0,5;4,8
Feijão, carioca, cru;329;61,2;1,3;20,0
Feijão, fradinho, cozido;78;13,5;0,6;5,1
Feijão, fradinho, cru;339;61,2;2,4;20,2
Feijão, jalo, cozido;93;16,5;0,5;6,1
Feijão, jalo, cru;328;61,5;0,9;20,1
Feijão, preto, cozido;77;14,0;0,5;4,5
Feijão, preto, cru;324;58,8;1,2;21,3
Feijão, rajado, cozido;85;15,3;0,4;5,5
Feijão, rajado, cru;326;62,9;1,2;17,3
Feijão, rosinha, cozido;68;11,8;0,5;4,5
Feijão, rosinha, cru;337;62,2;1,3;20,9
Feijão, roxo, cozido;77;12,9;0,5;5,7
Feijão, roxo, cru;331;60,0;1,2;22,2
Grão-de-bico, cru;355;57,9;5,4;21,2
Guandu, cru;344;64,0;2,1;19,0
Lentilha, cozida;93;16,3;0,5;6,3
Lentilha, crua;339;62,0;0,8;23,2
Paçoca, amendoim;487;52,4;26,1;16,0
Pé-de-moleque, amendoim;503;54,7;28,0;13,2
Soja, farinha;404;38,4;14,6;36,0
Soja, extrato solúvel, natural, fluido;39;4,3;1,6;2,4
Soja, extrato solúvel, pó;459;28,5;26,2;35,7
Soja, queijo (tofu);64;2,1;4,0;6,6
Tremoço, cru;381;43,8;10,3;33,6
Tremoço, em conserva;121;12,4;3,8;11,1
Amêndoa, torrada, salgada;581;29,5;47,3;18,6
Castanha-de-caju, torrada, salgada;570;29,1;46,3;18,5
Castanha-do-Brasil, crua;643;15,1;63,5;14,5
Coco, cru;406;10,4;42,0;3,7
Coco,;*;*;*;*
Farinha, de mesocarpo de babaçu, crua;329;79,2;0,2;1,4
Gergelim, semente;584;21,6;50,4;21,2
Linhaça, semente;495;43,3;32,3;14,1
Pinhão, cozido;174;43,9;0,7;3,0
Pupunha, cozida;219;29,6;12,8;2,5
Noz, crua;620;18,4;59,4;14,0
